"PIXEL","GAL_LON","GAL_LAT","WEIGHT","TEMP","TEMP_SIG","RESID_TE"
"44","6.216967E+01","3.074141E+00","9.597447E-01","2.726086E+00","1.603449E-04","2.660751E-04"
"45","6.476709E+01","3.668528E+00","7.357495E-01","2.725475E+00","1.831336E-04","-3.347397E-04"
"46","6.182988E+01","5.106610E+00","9.990091E-01","2.726048E+00","1.571623E-04","1.296997E-04"
"47","6.441439E+01","5.816557E+00","8.833547E-01","2.725828E+00","1.671342E-04","-8.630753E-05"
"48","6.916425E+01","-1.799328E+00","6.432125E-01","2.725902E+00","1.958645E-04","3.859997E-04"
"49","7.119940E+01","-7.505956E-01","5.266789E-01","2.725625E+00","2.164512E-04","8.487701E-05"
"50","6.806115E+01","1.106255E+00","6.997923E-01","2.725716E+00","1.877796E-04","6.198883E-05"
"51","7.108058E+01","9.664930E-01","7.476085E-01","2.725460E+00","1.816753E-04","-1.556873E-04"
"53","7.765870E+01","-1.802152E+00","1.384878E-02","2.726218E+00","1.334834E-03","7.688999E-04"
"54","7.305655E+01","2.005545E+00","5.250960E-01","2.725819E+00","2.167772E-04","1.740456E-04"
"55","7.685439E+01","1.761505E+00","2.181938E-02","2.725705E+00","1.063437E-03","9.727478E-05"
"56","6.777791E+01","3.603155E+00","8.030339E-01","2.725820E+00","1.752936E-04","5.078316E-05"
"57","7.032067E+01","3.761554E+00","6.376585E-01","2.726335E+00","1.967157E-04","5.862713E-04"
"58","6.702467E+01","6.151279E+00","8.592823E-01","2.725869E+00","1.694592E-04","-2.741814E-05"
"59","7.000706E+01","6.189540E+00","6.224790E-01","2.725651E+00","1.990997E-04","-2.143383E-04"
"60","7.321137E+01","3.822327E+00","7.391037E-01","2.725585E+00","1.827176E-04","-1.404285E-04"
"61","7.519506E+01","4.676966E+00","3.715551E-01","2.725368E+00","2.577041E-04","-3.824234E-04"
"62","7.243586E+01","6.369378E+00","6.085794E-01","2.725692E+00","2.013606E-04","-1.590252E-04"
"63","7.532275E+01","6.347387E+00","7.814855E-01","2.725501E+00","1.776939E-04","-3.271103E-04"
"64","8.006729E+01","-1.318846E+01","7.595634E-01","2.725234E+00","1.802399E-04","2.260208E-04"
"65","8.190887E+01","-1.307176E+01","3.990796E-01","2.725391E+00","2.486585E-04","3.838539E-04"
"66","8.014608E+01","-1.026521E+01","5.160050E-01","2.725995E+00","2.186785E-04","8.866787E-04"
"67","8.215777E+01","-1.008314E+01","6.320761E-01","2.725108E+00","1.975824E-04","-2.384186E-06"
"68","8.466946E+01","-1.355733E+01","3.453203E-01","2.725266E+00","2.673141E-04","2.787113E-04"
"69","8.685611E+01","-1.332658E+01","4.866829E-01","2.725184E+00","2.251697E-04","1.873970E-04"
"70","8.429391E+01","-1.038950E+01","3.041741E-01","2.725141E+00","2.848209E-04","4.410744E-05"
"71","8.643872E+01","-1.012301E+01","2.597359E-01","2.725248E+00","3.082244E-04","1.411438E-04"
"72","8.050403E+01","-8.070774E+00","9.753205E-02","2.725976E+00","5.029900E-04","7.879734E-04"
"73","8.171258E+01","-7.151561E+00","2.199640E-01","2.725435E+00","3.349324E-04","2.160072E-04"
"74","7.916601E+01","-3.379591E+00","6.894665E-02","2.725797E+00","5.982413E-04","4.205704E-04"
"75","8.166720E+01","-4.035066E+00","2.542512E-01","2.725598E+00","3.115312E-04","2.558231E-04"
"76","8.398569E+01","-7.289196E+00","3.525735E-01","2.724118E+00","2.645503E-04","-1.092911E-03"
"77","8.641451E+01","-7.508683E+00","5.343933E-01","2.725210E+00","2.148832E-04","6.675720E-06"
"78","8.435181E+01","-4.099483E+00","4.511792E-01","2.725365E+00","2.338614E-04","2.884865E-05"
"79","8.635725E+01","-4.221061E+00","3.931816E-01","2.725320E+00","2.505166E-04","-1.144409E-05"
"80","8.893221E+01","-1.356233E+01","9.911152E-01","2.725302E+00","1.577869E-04","3.094673E-04"
"81","9.125287E+01","-1.355338E+01","8.236185E-01","2.724952E+00","1.730892E-04","-4.911423E-05"
"82","8.871877E+01","-1.034563E+01","7.785758E-01","2.724933E+00","1.780256E-04","-1.695156E-04"
"83","9.102275E+01","-1.049159E+01","8.017952E-01","2.725188E+00","1.754290E-04","8.320808E-05"
"84","9.300809E+01","-1.343890E+01","1.319997E+00","2.725290E+00","1.367246E-04","2.770424E-04"
"85","9.533632E+01","-1.356876E+01","7.966187E-01","2.724811E+00","1.759980E-04","-2.119541E-04"
"86","9.297482E+01","-1.055706E+01","1.336894E+00","2.725252E+00","1.358578E-04","1.397133E-04"
"87","9.528496E+01","-1.042058E+01","9.855483E-01","2.724862E+00","1.582319E-04","-2.689362E-04"
"88","8.871705E+01","-7.224820E+00","7.122225E-01","2.725315E+00","1.861338E-04","9.679794E-05"
"89","9.084803E+01","-7.334120E+00","7.365779E-01","2.725318E+00","1.830306E-04","9.703636E-05"
"90","8.854655E+01","-4.306135E+00","6.336583E-01","2.725315E+00","1.973356E-04","-1.668930E-05"
"91","9.084213E+01","-4.256691E+00","7.201722E-01","2.725497E+00","1.851036E-04","1.552105E-04"
"92","9.314081E+01","-7.239022E+00","1.444574E+00","2.725275E+00","1.306963E-04","3.933907E-05"
"93","9.530349E+01","-7.354646E+00","1.122261E+00","2.725147E+00","1.482812E-04","-9.751320E-05"
"94","9.315862E+01","-4.292036E+00","1.278569E+00","2.725396E+00","1.389219E-04","4.482269E-05"
"95","9.519446E+01","-4.258705E+00","1.146845E+00","2.724952E+00","1.466833E-04","-4.129410E-04"
"96","7.828917E+01","-5.426500E-01","1.477890E-01","2.726594E+00","4.086128E-04","1.093864E-03"
"98","7.900169E+01","2.142862E+00","1.245140E-01","2.725945E+00","4.451680E-04","3.304482E-04"
"99","8.118493E+01","2.364533E+00","3.637270E-01","2.725773E+00","2.604625E-04","1.559258E-04"
"100","8.492381E+01","-2.595499E+00","3.388465E-03","2.726110E+00","2.698556E-03","7.121563E-04"
"101","8.604091E+01","-1.243475E+00","2.234294E-01","2.725425E+00","3.323249E-04","-2.956390E-05"
